,action,time,wealth,Position
1,sell,2021-11-02 09:40:05,17172.16,-1
2,buy,2021-11-02 10:00:05,0.5900000000001455,0
3,buy,2021-11-02 10:00:10,-17171.03,1
4,sell,2021-11-02 11:40:05,-95.68999999999869,0
5,sell,2021-11-02 11:40:10,16979.36,-1
6,buy,2021-11-02 11:50:05,-97.09000000000015,0
7,buy,2021-11-02 11:50:10,-17176.14,1
8,sell,2021-11-02 12:00:15,-104.97000000000116,0
9,sell,2021-11-02 12:00:35,16974.41,-1
10,buy,2021-11-02 12:10:25,-109.25,0
11,buy,2021-11-02 12:12:20,-17187.18,1
12,sell,2021-11-02 12:17:45,-95.83000000000175,0
13,sell,2021-11-02 12:20:15,16984.87,-1
14,buy,2021-11-02 12:24:30,-96.38999999999942,0
15,buy,2021-11-02 12:28:05,-17166.84,1
16,sell,2021-11-02 12:50:15,-117.52000000000044,0
17,sell,2021-11-02 12:50:25,16941.7,-1
18,buy,2021-11-02 12:53:10,-102.32999999999811,0
19,buy,2021-11-02 12:55:00,-17141.51,1
20,sell,2021-11-02 12:56:30,-86.44999999999709,0
